Id,device_usage_days,device_usage_rate_pct,avg_daily_steps,median_daily_steps,avg_daily_calories,avg_sedentary_minutes,avg_active_minutes,avg_very_active_minutes,avg_distance_km,active_days,avg_sleep_minutes,sleep_days_logged,sleep_minutes_std,avg_sleep_hours,activity_tier,usage_frequency_tier
1503960366,31,100.0,12521.0,12438.0,1877.0,828.4333333333333,287.06666666666666,40.0,8.069999965031942,30,360.0,25.0,100.47699570880224,6.0,"Highly active (12,500+)",Near-daily use (28-31 days)
1624580081,31,100.0,5744.0,4026.0,1483.0,1257.741935483871,167.96774193548387,8.67741935483871,3.9148387293661786,31,,,,,"Low active (5,000-7,499)",Near-daily use (28-31 days)
1644430081,30,96.8,7283.0,6683.5,2811.0,1161.8666666666666,209.4,9.566666666666666,5.295333353678386,30,294.0,4.0,334.75264499826335,4.9,"Low active (5,000-7,499)",Near-daily use (28-31 days)
1844505072,31,100.0,3636.0,3929.0,1666.0,1111.1363636363637,164.6818181818182,0.18181818181818182,2.4040909155525956,22,652.0,3.0,66.36264009214823,10.9,"Sedentary (<5,000)",Near-daily use (28-31 days)
1927972279,31,100.0,1578.0,1592.5,2252.0,1228.888888888889,70.05555555555556,2.2777777777777777,1.0927777675290908,18,417.0,5.0,219.23503369671553,7.0,"Sedentary (<5,000)",Near-daily use (28-31 days)
2022484408,31,100.0,11371.0,11548.0,2510.0,1112.5806451612902,313.0967741935484,36.29032258064516,8.084193491166635,31,,,,,"Active (10,000-12,499)",Near-daily use (28-31 days)
2026352035,31,100.0,5567.0,5528.0,1541.0,689.4193548387096,257.0,0.0967741935483871,3.4548387152533375,31,506.0,28.0,42.26552186622494,8.4,"Low active (5,000-7,499)",Near-daily use (28-31 days)
2320127002,31,100.0,4717.0,5057.0,1724.0,1220.0967741935483,202.1290322580645,1.3548387096774193,3.187741904489456,31,61.0,1.0,,1.0,"Sedentary (<5,000)",Near-daily use (28-31 days)
2347167796,18,58.1,9520.0,9781.0,2043.0,687.1666666666666,286.55555555555554,13.5,6.355555535915001,18,447.0,15.0,42.98205605665163,7.4,"Somewhat active (7,500-9,999)",Moderate use (11-20 days)
2873212765,31,100.0,7556.0,7762.0,1917.0,1097.1935483870968,328.2258064516129,14.096774193548388,5.101612860156644,31,,,,,"Somewhat active (7,500-9,999)",Near-daily use (28-31 days)
3372868164,20,64.5,6862.0,7150.5,1933.0,1077.55,341.15,9.15,4.707000041007996,20,,,,,"Low active (5,000-7,499)",Moderate use (11-20 days)
3977333714,30,96.8,10985.0,11604.0,1514.0,707.5333333333333,254.93333333333334,18.9,7.516999944051109,30,294.0,28.0,63.90166883910999,4.9,"Active (10,000-12,499)",Near-daily use (28-31 days)
4020332650,31,100.0,4134.0,4369.0,2720.0,1070.2941176470588,159.52941176470588,9.470588235294118,2.965294129817802,17,349.0,8.0,141.2980006935696,5.8,"Sedentary (<5,000)",Near-daily use (28-31 days)
4057192912,4,12.9,5117.0,5394.0,2040.0,1143.0,140.33333333333334,1.0,3.8166666825612396,3,,,,,"Low active (5,000-7,499)",Low use (<=10 days)
4319703577,31,100.0,7269.0,8221.0,2038.0,735.8064516129032,244.67741935483872,3.5806451612903225,4.892258047036105,31,477.0,26.0,114.28453694448513,8.0,"Low active (5,000-7,499)",Near-daily use (28-31 days)
4388161847,31,100.0,10814.0,10243.0,3094.0,836.6774193548387,272.8709677419355,23.161290322580644,8.393225892897574,31,400.0,23.0,145.58085918576253,6.7,"Active (10,000-12,499)",Near-daily use (28-31 days)
